locale,key,englishValue,overlayValue,overlayStatus,section,priorityRank
ar,pages.pricing.billing.heading,Choose how long you want to commit,,missing_in_overlay,pricing,1
ar,pages.pricing.billing.helper,Totals help you compare term savings; Stripe shows the exact charge before you pay. You can switch term at renewal where your plan allows.,,missing_in_overlay,pricing,1
ar,pages.pricing.billing.recurringDisclosure,"Subscriptions renew automatically until you cancel. Stripe shows the renewal cadence, price, and next charge date before you pay. Cancellation and refund rules are in our subscription & refund policy.",,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.comingSoon,Coming soon,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.continue,Continue to secure checkout,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.mustAcceptPolicies,Confirm the policies above to continue to checkout.,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyAckBetween1,", ",,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyAckBetween2,", and ",,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyAckEnd,", including recurring billing and cancellation rules.",,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyAckStart,I have read and agree to the ,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyPrivacyLabel,Privacy Policy,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyRefundLabel,Subscription & refund policy,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.policyTermsLabel,Terms of Service,,missing_in_overlay,pricing,1
ar,pages.pricing.checkout.recurringShort,Recurring billing: your plan renews until you cancel in the billing portal. Exact terms appear on Stripe before payment.,,missing_in_overlay,pricing,1
ar,pages.pricing.country.ca,Canada,,missing_in_overlay,pricing,1
ar,pages.pricing.country.us,United States,,missing_in_overlay,pricing,1
ar,pages.pricing.countryLabel,Country:,,missing_in_overlay,pricing,1
ar,pages.pricing.description,"NurseNest Core plans by exam pathway (RPN, LVN/LPN, RN, NP, allied) and country—full bank, lessons, mocks, and server-checked access.",,missing_in_overlay,pricing,1
ar,pages.pricing.duration.3month,3 months,,missing_in_overlay,pricing,1
ar,pages.pricing.duration.6month,6 months,,missing_in_overlay,pricing,1
ar,pages.pricing.duration.monthly,Monthly,,missing_in_overlay,pricing,1
ar,pages.pricing.duration.yearly,12 months (best savings),,missing_in_overlay,pricing,1
ar,pages.pricing.error.checkoutNetwork,Network error starting checkout. Check your connection and try again.,,missing_in_overlay,pricing,1
ar,pages.pricing.error.checkoutSignIn,"Sign in first, then return here to finish checkout.",,missing_in_overlay,pricing,1
ar,pages.pricing.error.checkoutUnavailable,Checkout is not available for this plan right now.,,missing_in_overlay,pricing,1
ar,pages.pricing.error.loadPlans,We could not load plans. Refresh the page or try again shortly.,,missing_in_overlay,pricing,1
ar,pages.pricing.h1,Pricing that matches your exam—not a generic subscription wall,,missing_in_overlay,pricing,1
ar,pages.pricing.institutionalBanner,"Programs & schools: volume licensing, cohort seats, and admin-friendly rollout—see institutional pricing.",,missing_in_overlay,pricing,1
ar,pages.pricing.institutionalLink,Institutional & program pricing,,missing_in_overlay,pricing,1
ar,pages.pricing.intro,"Pick your pathway and country. After checkout, that tier unlocks the full question bank, lessons, timed sessions, and score history for your registration context—no mixing in content from other scopes.",,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.headline,Allied health exam prep anchored in clinical reasoning,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.headlineOutcome,Allied health exam prep anchored in clinical reasoning,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.headlineUrgency,Allied health exam prep anchored in clinical reasoning — start your pass-focused sprint,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.included0,Reasoning-heavy question practice with clear rationales,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.included1,Lesson library access aligned to your subscription tier,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.included2,Timed exams to rehearse stamina and pacing,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.included3,Simple analytics to steer your next study block,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.outcome0,Practice rapid prioritization and protocol edges like certification exams,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.outcome1,Tie pathophysiology lessons to applied items the same week,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.outcome2,Track weak domains instead of repeating comfortable topics,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.proofLine,Certification success correlates with consistent application—not cramming—NurseNest enforces that cadence.,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.allied.subhead,"RT, paramedic, lab, and imaging learners use the same disciplined question → lesson → mock rhythm.",,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.headline,NCLEX-PN prep that prioritizes safety and scope,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.headlineOutcome,NCLEX-PN prep that prioritizes safety and scope,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.headlineUrgency,NCLEX-PN prep that prioritizes safety and scope — start your pass-focused sprint,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.included0,PN-focused practice questions and rationales,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.included1,Lesson tracks for high-yield clinical foundations,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.included2,Practice exams drawn from your eligible pool only,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.included3,Performance cues to rebalance weak categories weekly,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.outcome0,Rehearse prioritization and therapeutic communication the way boards frame them,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.outcome1,Reinforce pharmacology monitoring PN scope expects,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.outcome2,Use mock pacing to reduce exam-day adrenaline mistakes,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.proofLine,Outcome-focused study beats passive videos—active items with rationales are built into every plan.,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.lvn_lpn.subhead,US LVN/LPN pathways get PN-level scenarios—no RN-only noise unless your plan includes it.,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.headline,NP exam prep with differential depth and management rigor,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.headlineOutcome,NP exam prep with differential depth and management rigor,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.headlineUrgency,NP exam prep with differential depth and management rigor — start your advanced-practice sprint,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.included0,NP-tier items with deeper rationale expectations,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.included1,Clinical lessons supporting advanced pathways (per your tier),,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.included2,Mock exam sessions sized for longer case blocks,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.included3,Category analytics tuned for NP scope,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.outcome0,Stress-test differentials and prescribing considerations safely,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.outcome1,Build speed on complex case stems without skipping rationale depth,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.outcome2,Align study blocks to the systems you actually see in practice,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.proofLine,NP candidates use NurseNest to keep complexity high without losing the feedback loop rationales provide.,,missing_in_overlay,pricing,1
ar,pages.pricing.narrative.np.subhead,"Advanced practice items emphasize synthesis, diagnostics, and follow-up planning.",,missing_in_overlay,pricing,1
