# Pathway lesson inventory by nursing tier (RN / PN·RPN / NP)
# Generated from getEffectiveCatalogLessonsForPathwaySync — same bundle + filters as public lesson hubs.
# Columns: topicSlug | bodySystem | slug | title | audienceTiers (if any)

========== RN ==========

--- ca-rn-nclex-rn (NCLEX-RN) — 146 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, Canada)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulants — monitoring & safety (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | abdominal-aortic-aneurysm-nclex-rn | Abdominal Aortic Aneurysm (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | ACS & chest pain (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | acute-myocardial-infarction-troponin | Acute Myocardial Infarction & Troponin (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | atrial-fibrillation-rate-control | Atrial Fibrillation & Rate Control (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | Atrial fibrillation: stroke prevention (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | cabg-and-postoperative-cabg-complications-nclex-rn | CABG and Postoperative CABG Complications (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | cardiac-tamponade-nclex-rn | Cardiac Tamponade (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study: chest pain triage (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | dvt-pe-nursing-priorities | DVT & PE Nursing Priorities (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | endocarditis-blood-cultures | Endocarditis & Blood Cultures (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | heart-failure-nursing-priorities-hy | Heart Failure Nursing Priorities (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | hypertensive-crisis-vs-urgency | Hypertensive Crisis vs Urgency (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac medications (ischemia & rhythm) (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | pericarditis-ecg-clues | Pericarditis & ECG Clues (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | phlebostatic-axis-nclex-rn | Phlebostatic Axis (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | pulmonary-embolism-nclex-rn | Pulmonary Embolism (NCLEX-RN, Canada)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | Pulmonary embolism: recognition (NCLEX-RN, Canada)
cardiovascular | Cardiovascular | shock-recognition-fluids | Shock Recognition & Fluids (NCLEX-RN, Canada)
copd | Respiratory | copd-clinical-judgment-gold | COPD: clinical judgment (NCLEX-RN, Canada)
delegation | General | canadian-rpn-scope-collaboration-gold | Collaborating with RPNs: assignment & accountability (NCLEX-RN, Canada)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation & supervision (NCLEX-RN, Canada)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Insulin & diabetes medications (NCLEX-RN, Canada)
endocrine | Endocrine | addisonian-crisis | Addisonian Crisis (NCLEX-RN, Canada)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal crisis (Addisonian) (NCLEX-RN, Canada)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study (NCLEX-RN, Canada)
endocrine | Endocrine | cushing-syndrome-assessment | Cushing Syndrome Assessment (NCLEX-RN, Canada)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS: clinical judgment (NCLEX-RN, Canada)
endocrine | Endocrine | dka-vs-hhs-priorities-hy | DKA vs HHS Priorities (NCLEX-RN, Canada)
endocrine | Endocrine | siadh-vs-di-basics | SIADH vs DI Basics (NCLEX-RN, Canada)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm: emergency recognition (NCLEX-RN, Canada)
endocrine | Endocrine | thyroid-storm-myxedema-clues | Thyroid Storm & Myxedema Clues (NCLEX-RN, Canada)
fluids-electrolytes | Renal | calcium-tetany | Calcium & Tetany (NCLEX-RN, Canada)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study (NCLEX-RN, Canada)
fluids-electrolytes | Renal | fluid-volume-deficit | Fluid Volume Deficit (NCLEX-RN, Canada)
fluids-electrolytes | Renal | fluid-volume-excess | Fluid Volume Excess (NCLEX-RN, Canada)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte & fluid crises (NCLEX-RN, Canada)
fluids-electrolytes | Renal | hypo-vs-hyperkalemia-hy | Hypo- vs Hyperkalemia (NCLEX-RN, Canada)
fluids-electrolytes | Renal | hyponatremia-vs-hypernatremia-hy | Hyponatremia vs Hypernatremia (NCLEX-RN, Canada)
fluids-electrolytes | Renal | magnesium-arrhythmia-risk | Magnesium & Arrhythmia Risk (NCLEX-RN, Canada)
fluids-electrolytes | Renal | mixed-acid-base-patterns | Mixed Acid-Base Patterns (NCLEX-RN, Canada)
fluids-electrolytes | Renal | phosphate-shifts-in-renal | Phosphate Shifts in Renal (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | acute-pancreatitis-nursing-care | Acute Pancreatitis Nursing Care (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | bowel-obstruction-vs-paralytic-ileus | Bowel Obstruction vs Paralytic Ileus (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | c-diff-infection-control | C. diff Infection Control (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | gerd-pud-bleeding-clues | GERD & PUD Bleeding Clues (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | gi-bleed-assessment | GI Bleed Assessment (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | liver-failure-hepatic-encephalopathy | Liver Failure & Hepatic Encephalopathy (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | ostomy-skin-protection | Ostomy & Skin Protection (NCLEX-RN, Canada)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed: priorities (NCLEX-RN, Canada)
hematology | Hematologic | anemia-types-transfusion-thresholds | Anemia Types & Transfusion Thresholds (NCLEX-RN, Canada)
hematology | Hematologic | neutropenic-precautions | Neutropenic Precautions (NCLEX-RN, Canada)
hematology | Hematologic | sickle-cell-pain-acs | Sickle Cell Pain & ACS (NCLEX-RN, Canada)
hematology | Hematologic | transfusion-reaction-recognition | Transfusion Reaction Recognition (NCLEX-RN, Canada)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Antihypertensives (NCLEX-RN, Canada)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection control & standard precautions (NCLEX-RN, Canada)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation & transmission precautions (NCLEX-RN, Canada)
infectious | Immune | hiv-confidentiality-pep-basics | HIV Confidentiality & PEP Basics (NCLEX-RN, Canada)
infectious | Immune | isolation-precautions-in-practice | Isolation Precautions in Practice (NCLEX-RN, Canada)
infectious | Immune | wound-infection-vs-colonization | Wound Infection vs Colonization (NCLEX-RN, Canada)
integumentary | Integumentary | burn-depth-fluid-resuscitation-basics | Burn Depth & Fluid Resuscitation Basics (NCLEX-RN, Canada)
integumentary | Integumentary | pressure-injury-staging | Pressure Injury Staging (NCLEX-RN, Canada)
integumentary | Integumentary | severe-dermatitis-skin-care | Severe Dermatitis Skin Care (NCLEX-RN, Canada)
leadership | General | assignment-vs-delegation | Assignment vs Delegation (NCLEX-RN, Canada)
leadership | General | ethical-distress-advocacy | Ethical Distress & Advocacy (NCLEX-RN, Canada)
leadership | General | legal-nurse-practice-act | Legal: Nurse Practice Act (NCLEX-RN, Canada)
leadership | General | qi-incident-reporting | QI & Incident Reporting (NCLEX-RN, Canada)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study (NCLEX-RN, Canada)
maternity | General | late-decelerations-fhr | Late Decelerations & FHR (NCLEX-RN, Canada)
maternity | General | newborn-thermoregulation-feeding | Newborn Thermoregulation & Feeding (NCLEX-RN, Canada)
maternity | General | postpartum-hemorrhage | Postpartum Hemorrhage (NCLEX-RN, Canada)
maternity | General | preeclampsia-vs-eclampsia | Preeclampsia vs Eclampsia (NCLEX-RN, Canada)
maternity | General | rh-incompatibility-basics | Rh Incompatibility Basics (NCLEX-RN, Canada)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: nursing management (NCLEX-RN, Canada)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Medication administration & error prevention (NCLEX-RN, Canada)
mental-health | Mental Health | alcohol-withdrawal-ciwa | Alcohol Withdrawal CIWA (NCLEX-RN, Canada)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health & safety case study (NCLEX-RN, Canada)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropic medications (NCLEX-RN, Canada)
mental-health | Mental Health | psychotropic-side-effects | Psychotropic Side Effects (NCLEX-RN, Canada)
mental-health | Mental Health | suicide-risk-assessment-hy | Suicide Risk Assessment (NCLEX-RN, Canada)
musculoskeletal | Integumentary | hip-fracture-fall-risk | Hip Fracture & Fall Risk (NCLEX-RN, Canada)
musculoskeletal | Integumentary | immobility-dvt-prophylaxis | Immobility & DVT Prophylaxis (NCLEX-RN, Canada)
musculoskeletal | Integumentary | ra-flare-immune-modulators | RA Flare & Immune Modulators (NCLEX-RN, Canada)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium: acute confusion & safety (NCLEX-RN, Canada)
neurological | Neurologic | increased-icp-positioning | Increased ICP & Positioning (NCLEX-RN, Canada)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis: emergency recognition (NCLEX-RN, Canada)
neurological | Neurologic | meningitis-isolation-assessment | Meningitis Isolation & Assessment (NCLEX-RN, Canada)
neurological | Neurologic | migraine-vs-red-flag-headache | Migraine vs Red-Flag Headache (NCLEX-RN, Canada)
neurological | Neurologic | parkinson-disease-med-timing | Parkinson Disease Med Timing (NCLEX-RN, Canada)
neurological | Neurologic | seizure-precautions-rescue-meds | Seizure Precautions & Rescue Meds (NCLEX-RN, Canada)
neurological | Neurologic | spinal-cord-injury-autonomic-dysreflexia | Spinal Cord Injury Autonomic Dysreflexia (NCLEX-RN, Canada)
neurological | Neurologic | stroke-assessment-tpa-window | Stroke Assessment & tPA Window (NCLEX-RN, Canada)
neurological | Neurological | stroke-increased-icp-gold | Stroke & elevated ICP (NCLEX-RN, Canada)
nutrition | Gastrointestinal | enteral-feeding-tube-safety | Enteral Feeding Tube Safety (NCLEX-RN, Canada)
nutrition | Gastrointestinal | tpn-line-care-basics | TPN Line Care Basics (NCLEX-RN, Canada)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation medications (NCLEX-RN, Canada)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever / dehydration case study (NCLEX-RN, Canada)
pediatrics | General | growth-failure-red-flags | Growth Failure Red Flags (NCLEX-RN, Canada)
pediatrics | General | immunization-schedule-essentials | Immunization Schedule Essentials (NCLEX-RN, Canada)
pediatrics | General | non-accidental-trauma-suspicion | Non-Accidental Trauma Suspicion (NCLEX-RN, Canada)
pediatrics | General | pediatric-fever-dehydration | Pediatric Fever & Dehydration (NCLEX-RN, Canada)
pediatrics | General | rsv-pediatric-resp-distress | RSV & Pediatric Resp Distress (NCLEX-RN, Canada)
pharmacology | Pharmacology | antibiotic-classes-allergies-hy | Antibiotic Classes & Allergies (NCLEX-RN, Canada)
pharmacology | Pharmacology | anticoagulants-bleeding-risk | Anticoagulants & Bleeding Risk (NCLEX-RN, Canada)
