locale,key,englishValue,overlayValue,overlayStatus,section,priorityRank
es,pages.pricing.preview.metricAccuracy,72%,72%,identical_to_english,pricing,1
es,pages.pricing.preview.metricStreak,5,5,identical_to_english,pricing,1
es,pages.pricing.preview.metricWeak,3,3,identical_to_english,pricing,1
es,home.hero.nclexRn,NCLEX-RN,NCLEX-RN,identical_to_english,home,3
es,home.hero.rexPn,REx-PN,REx-PN,identical_to_english,home,3
es,home.socialProof.passRateValue,100%,100%,identical_to_english,home,3
es,pages.home.adminLessonCountBreakdown,Admin: Lesson Count Breakdown,Admin: Lesson Count Breakdown,identical_to_english,home,3
es,pages.home.availableIn20LanguagesStudy,Available in 20 languages — Study nursing in your language,Available in 20 languages — Study nursing in your language,identical_to_english,home,3
es,pages.home.canadianFlag,Canadian flag,Canadian flag,identical_to_english,home,3
es,pages.home.metaDescription,"Clinical exam prep with practice questions, lessons, and mock exams for RPN/LPN, RN, NCLEX, REx-PN, NP, and allied health — built for Canada and the US.","Clinical exam prep with practice questions, lessons, and mock exams for RPN/LPN, RN, NCLEX, REx-PN, NP, and allied health — built for Canada and the US.",identical_to_english,home,3
es,pages.home.metaTitle,"NurseNest — Healthcare Exam Prep | Nursing, NP & Allied Health","NurseNest — Healthcare Exam Prep | Nursing, NP & Allied Health",identical_to_english,home,3
es,pages.home.rarr,&rarr;,&rarr;,identical_to_english,home,3
es,pages.home.storeProducts,Store Products,Store Products,identical_to_english,home,3
es,pages.home.totalLessons,Total Lessons,Total Lessons,identical_to_english,home,3
es,pages.home.totalQuestions,Total Questions,Total Questions,identical_to_english,home,3
es,pages.home.usFlag,US flag,US flag,identical_to_english,home,3
es,footer.blog,Blog,Blog,identical_to_english,footer,4
es,nav.examStrip.npCA,NP (CNPLE),NP (CNPLE),identical_to_english,nav,5
es,nav.examStrip.pnCA,REx-PN,REx-PN,identical_to_english,nav,5
es,nav.examStrip.pnUS,NCLEX-PN,NCLEX-PN,identical_to_english,nav,5
es,nav.examStrip.rn,NCLEX-RN,NCLEX-RN,identical_to_english,nav,5
es,pages.forgotPassword.backToLoginLabel,Back to sign in,,missing_in_overlay,auth,6
es,pages.forgotPassword.emailPlaceholder,Email address on your account,,missing_in_overlay,auth,6
es,pages.forgotPassword.errorMessage,Something went wrong. Please try again.,,missing_in_overlay,auth,6
es,pages.forgotPassword.h1,Reset your password,,missing_in_overlay,auth,6
es,pages.forgotPassword.intro,"Enter your email address. If an account exists with a password, we will send a reset link.",,missing_in_overlay,auth,6
es,pages.forgotPassword.metaDescription,Reset your NurseNest password,,missing_in_overlay,auth,6
es,pages.forgotPassword.metaTitle,Forgot password,,missing_in_overlay,auth,6
es,pages.forgotPassword.submitLabel,Send reset link,,missing_in_overlay,auth,6
es,pages.forgotPassword.successMessage,"If an account exists for that email, a password reset link has been sent.",,missing_in_overlay,auth,6
es,pages.login.legalAfter,.,.,identical_to_english,auth,6
es,pages.resetPassword.backToLoginLabel,Back to sign in,,missing_in_overlay,auth,6
es,pages.resetPassword.confirmLabel,Confirm new password,,missing_in_overlay,auth,6
es,pages.resetPassword.errorGeneric,This reset link is invalid or has expired. Request a new one from the sign-in page.,,missing_in_overlay,auth,6
es,pages.resetPassword.h1,Choose a new password,,missing_in_overlay,auth,6
es,pages.resetPassword.intro,Enter and confirm your new password (at least 8 characters).,,missing_in_overlay,auth,6
es,pages.resetPassword.metaDescription,Set a new NurseNest password,,missing_in_overlay,auth,6
es,pages.resetPassword.metaTitle,Reset password,,missing_in_overlay,auth,6
es,pages.resetPassword.mismatchMessage,Passwords do not match.,,missing_in_overlay,auth,6
es,pages.resetPassword.passwordLabel,New password,,missing_in_overlay,auth,6
es,pages.resetPassword.submitLabel,Update password,,missing_in_overlay,auth,6
