lesson_title,slug,tier_group,subgroup,profession_tier_pathway,source,status,notes,recommended_action
Anatomy & Physiology,anatomy-physiology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,7 embedded micro-lessons declared in registry metadata.,keep as-is
ATP & Energy Pathways,atp-pathway,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,5 embedded micro-lessons declared in registry metadata.,keep as-is
Cell Biology,cell-biology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Cellular Injury & Adaptation,cellular-injury,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,5 embedded micro-lessons declared in registry metadata.,keep as-is
Chemistry for Health Sciences,chemistry,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Cultural Competency,cultural-competency,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Diagnostic Methods,diagnostics,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Ethics & Legal Foundations,ethics-legal,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Fluids & Electrolytes,fluids-electrolytes,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Health Assessment,health-assessment,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Healthcare Communication,communication,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Healthcare Structure,healthcare-structure,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Human Factors & Safety,human-factors,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Infection Control,infection-control,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Inflammation & Immune Response,inflammation,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Intro Pathophysiology,pathophysiology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,3 embedded micro-lessons declared in registry metadata.,keep as-is
Intro Pharmacology,pharmacology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,3 embedded micro-lessons declared in registry metadata.,keep as-is
Medical Terminology,terminology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,duplicated,3 embedded micro-lessons declared in registry metadata. Normalized title duplicates another row in the same group.,normalize title
Medical Terminology,medical-terminology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,duplicated,4 embedded micro-lessons declared in registry metadata. Normalized title duplicates another row in the same group.,normalize title
Microbiology Foundations,microbiology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Nursing Research & Statistics,research-statistics,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,5 embedded micro-lessons declared in registry metadata.,keep as-is
Nutrition Foundations,nutrition-foundations,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Oxygenation & Perfusion,oxygenation,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,5 embedded micro-lessons declared in registry metadata.,keep as-is
Physiology Principles,physiology,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Reading Research,research-reading,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
Science Foundations,science-foundations,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,6 embedded micro-lessons declared in registry metadata.,keep as-is
Study & Cognitive Strategies,study-strategies,Pre-nursing,,Pre-nursing / Pre-nursing,src/content/pre-nursing/pre-nursing-registry.ts,fully present,4 embedded micro-lessons declared in registry metadata.,keep as-is
ABG basics for nursing decisions — REx-PN (Canada),bp26-carpn-lab-abg-interpret,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"ABG interpretation (REx-PN / PN, Canada)",ca-rpn-abg-interpretation,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Acid–base disorders (advanced) (REx-PN / PN, Canada)",ca-rpn-acid-base-advanced,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"ACS case study: chest pain triage (REx-PN, Canada)",clinical-casebook-acs-chest-pain-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Acute kidney injury: nursing surveillance (REx-PN, Canada)",acute-kidney-injury-nursing-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Adrenal crisis (Addisonian) (REx-PN, Canada)",adrenal-crisis-addisonian-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Airway obstruction in toddlers — REx-PN (Canada),bp26-carpn-x022-airway-obstruction-in-toddlers,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Angina (REx-PN / PN, Canada)",ca-rpn-angina,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Angina vs infarction: data that changes risk — REx-PN (Canada),bp26-carpn-x002-angina-vs-infarction-data-that-changes-r,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Antibiotic Side Effect Reporting (REx-PN / PN, Canada)",antibiotic-side-effect-reporting,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Antibiotics — nursing implications (REx-PN, Canada)",med-family-antibiotics-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Antibiotics (REx-PN / PN, Canada)",ca-rpn-antibiotics,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Anticoagulants — monitoring & safety (REx-PN, Canada)",med-family-anticoagulants-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Anticoagulants (REx-PN / PN, Canada)",ca-rpn-anticoagulants,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Antihypertensives (REx-PN, Canada)",med-family-antihypertensives-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"ARDS (REx-PN / PN, Canada)",ca-rpn-ards,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"ARDS & acute respiratory failure (REx-PN, Canada)",ards-acute-respiratory-failure-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Asthma (REx-PN / PN, Canada)",ca-rpn-asthma,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Atrial fibrillation: rate vs rhythm focus — REx-PN (Canada),bp26-carpn-pa-afib-rate,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Atrial fibrillation: stroke prevention (REx-PN, Canada)",atrial-fibrillation-stroke-prevention-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Barcode scanning discipline — REx-PN (Canada),bp26-carpn-x025-barcode-scanning-discipline,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Behavioral Escalation Reporting (REx-PN / PN, Canada)",behavioral-escalation-reporting,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Beta-blocker hold peri-op considerations — REx-PN (Canada),bp26-carpn-x012-beta-blocker-hold-peri-op-considerations,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Blood cultures: timing with antibiotics — REx-PN (Canada),bp26-carpn-lab-cultures-timing,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Breastfeeding latch troubleshooting — REx-PN (Canada),bp26-carpn-x020-breastfeeding-latch-troubleshooting,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Burns: first-hour priorities — REx-PN (Canada),bp26-carpn-pa-burn-fluid-first,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"C. diff Contact Precautions (REx-PN / PN, Canada)",c-diff-contact-precautions,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Calcium imbalance cues — REx-PN (Canada),bp26-carpn-x009-calcium-imbalance-cues,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Cardiac catheterization post-procedure care — REx-PN (Canada),bp26-carpn-x005-cardiac-catheterization-post-procedure-c,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Cardiac medications (ischemia & rhythm) (REx-PN, Canada)",med-family-cardiac-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Catheter Care & CAUTI Prevention (REx-PN / PN, Canada)",catheter-care-cauti-prevention,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
Central line dressing & CLABSI prevention — REx-PN (Canada),bp26-carpn-proc-cvc-dressing,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Chest pain & ACS cues (REx-PN, Canada)",acute-coronary-syndrome-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Clinical judgment: prioritization (REx-PN, Canada)",clinical-judgment-prioritization-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"COPD & respiratory basics (REx-PN / PN, Canada)",ca-rpn-copd-respiratory,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"COPD Home Care (REx-PN / PN, Canada)",copd-home-care,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"COPD: clinical judgment (REx-PN, Canada)",copd-clinical-judgment-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Daily Weights Pattern (REx-PN / PN, Canada)",daily-weights-pattern,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Delegation & assignment (REx-PN / PN, Canada)",ca-rpn-delegation,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Delegation & supervision (REx-PN, Canada)",safety-family-delegation-supervision-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Delirium vs dementia: nursing differentiation — REx-PN (Canada),bp26-carpn-x015-delirium-vs-dementia-nursing-differentia,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Delirium: acute confusion & safety (REx-PN, Canada)",delirium-acute-confusion-gold,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Dementia: wandering & safety — REx-PN (Canada),bp26-carpn-psy-dementia-wandering,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
"Dialysis & renal crisis cues (REx-PN, Canada)",renal-dialysis-acute-complications-gold-standard,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,scoped gold injection → ca-rpn-rex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Dialysis access complications to report — REx-PN (Canada),bp26-carpn-pa-dialysis-access,Canada RPN / REx-PN,,Canada RPN / REx-PN / ca-rpn-rex-pn,src/content/pathway-lessons/catalog.json → ca-rpn-rex-pn,fully present,,keep as-is
