domain,topicSlug,topicName,contentWeight,targetLessonCountMin,targetLessonCountMax,targetQuestionCountMin,targetQuestionCountMax,recommendedSequenceOrder,status,prerequisiteCount,downstreamCount
Medical Terminology,prefixes-suffixes-root-words,"Prefixes, Suffixes, and Root Words",heavy,4,5,45,60,1,planned,0,4
Medical Terminology,body-direction-and-positional-terms,Body Direction and Positional Terms,heavy,4,5,45,60,2,planned,1,2
Medical Terminology,cardiovascular-respiratory-terminology,Cardiovascular and Respiratory Terminology,heavy,4,5,45,60,3,planned,1,3
Medical Terminology,gi-urinary-terminology,Gastrointestinal and Urinary Terminology,light,2,3,20,25,4,planned,1,2
Medical Terminology,musculoskeletal-neuro-terminology,Musculoskeletal and Neurological Terminology,light,2,3,20,25,5,planned,1,2
Anatomy & Physiology,cell-structure-and-function,Cell Structure and Function,heavy,4,5,45,60,1,planned,0,3
Anatomy & Physiology,cell-transport-mechanisms,Cell Transport Mechanisms,heavy,4,5,45,60,2,planned,1,1
Anatomy & Physiology,cell-division-mitosis-meiosis,Cell Division: Mitosis and Meiosis,light,2,3,20,25,3,planned,1,1
Anatomy & Physiology,four-tissue-types,The Four Tissue Types,heavy,4,5,45,60,4,planned,2,3
Anatomy & Physiology,skin-structure-and-functions,Skin Structure and Functions,light,2,3,20,25,5,planned,1,1
Anatomy & Physiology,bone-structure-and-skeleton,Bone Structure and the Skeleton,heavy,4,5,45,60,6,planned,1,1
Anatomy & Physiology,joints-and-articulations,Joints and Articulations,light,2,3,20,25,7,planned,1,1
Anatomy & Physiology,muscle-types-and-contraction,Muscle Types and Contraction,heavy,4,5,45,60,8,planned,2,1
Anatomy & Physiology,neuron-structure-and-nerve-impulses,Neuron Structure and Nerve Impulses,heavy,4,5,45,60,9,planned,1,2
Anatomy & Physiology,cns-brain-and-spinal-cord,Central Nervous System: Brain and Spinal Cord,heavy,4,5,45,60,10,planned,1,2
Anatomy & Physiology,autonomic-nervous-system,Autonomic Nervous System,light,2,3,20,25,11,planned,1,1
Anatomy & Physiology,heart-anatomy-and-cardiac-cycle,Heart Anatomy and the Cardiac Cycle,heavy,4,5,45,60,12,planned,1,3
Anatomy & Physiology,blood-vessels-and-circulation,Blood Vessels and Circulation,heavy,4,5,45,60,13,planned,1,2
Anatomy & Physiology,blood-composition-and-functions,Blood Composition and Functions,heavy,4,5,45,60,14,planned,1,1
Anatomy & Physiology,respiratory-anatomy-and-mechanics,Respiratory Anatomy and Mechanics of Breathing,heavy,4,5,45,60,15,planned,1,2
Anatomy & Physiology,gi-tract-anatomy-and-digestion,GI Tract: Anatomy and Digestion,heavy,4,5,45,60,16,planned,1,1
Anatomy & Physiology,kidney-structure-and-urine-formation,Kidney Structure and Urine Formation,heavy,4,5,45,60,17,planned,1,2
Anatomy & Physiology,endocrine-glands-and-hormones,Major Endocrine Glands and Hormones,heavy,4,5,45,60,18,planned,1,1
Anatomy & Physiology,male-female-reproductive-anatomy,Male and Female Reproductive Anatomy,light,2,3,20,25,19,planned,1,0
Anatomy & Physiology,lymphatic-system-and-immunity,Lymphatic System and Immunity Overview,heavy,4,5,45,60,20,planned,1,2
Anatomy & Physiology,vision-hearing-special-senses,"Vision, Hearing, and Special Senses",light,2,3,20,25,21,planned,1,0
