id,title,slug,primaryKeyword,category,intentType,shortDescription,targetAudience,suggestedRelatedLessonPaths,suggestedRelatedTools,translationPriority,publicationWave,publicationRank,translationGroupId,status
1,Why Does Heart Failure Cause Pulmonary Edema? (Pathophysiology for NCLEX),nclex-seo-001-why-does-heart-failure-cause-pulmonary-edema-pathophysiology-for-nclex,why does heart failure cause pulmonary edema NCLEX,Cardiac,explanation-pathophysiology,"Links pump failure to pulmonary congestion so exam items on crackles, orthopnea, and priority make sense.","Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/heart-failure-nclex-rn|/us/rn/nclex-rn/lessons/cardiac-tamponade-nclex-rn|/us/rn/nclex-rn/lessons/milrinone-nclex-rn,electrolyte-abg,high,1,1,nclex-seo-2026-001,planned
2,Why Does K+ Rise in DKA Before Insulin? (NCLEX Trap Explained),nclex-seo-002-why-does-k-rise-in-dka-before-insulin-nclex-trap-explained,why potassium increases in DKA nursing,Endocrine,explanation-pathophysiology,Explains intracellular shift and dehydration themes behind insulin and potassium safety items.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/dka-hhs-hyperglycemic-emergencies-gold|/us/rn/nclex-rn/lessons/fluids-electrolytes-emergencies-gold,med-math|iv-infusion|lab-values,high,1,2,nclex-seo-2026-002,planned
3,Why Does SIADH Cause Hyponatremia but “Wet” on Exam Questions?,nclex-seo-003-why-does-siadh-cause-hyponatremia-but-wet-on-exam-questions,why SIADH causes hyponatremia NCLEX,Endocrine,explanation-pathophysiology,"Connects ADH, water retention, and sodium dilution to fluid priority answers.","Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/fluids-electrolytes-emergencies-gold,lab-values|electrolyte-abg,high,1,3,nclex-seo-2026-003,planned
4,Why Does Left-Sided HF Show Crackles Before Peripheral Edema?,nclex-seo-004-why-does-left-sided-hf-show-crackles-before-peripheral-edema,left sided heart failure pulmonary edema why,Cardiac,explanation-pathophysiology,Separates pulmonary congestion patterns from systemic congestion for L vs R failure stems.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/heart-failure-nclex-rn|/us/rn/nclex-rn/lessons/cardiac-tamponade-nclex-rn|/us/rn/nclex-rn/lessons/milrinone-nclex-rn,electrolyte-abg,high,1,4,nclex-seo-2026-004,planned
5,Why Does Hypoalbuminemia Cause Edema? (Fluid Shifts NCLEX),nclex-seo-005-why-does-hypoalbuminemia-cause-edema-fluid-shifts-nclex,why low albumin causes edema nursing,Med-Surg,explanation-pathophysiology,Oncotic pressure logic for edema and third-spacing questions.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/sepsis-nclex-rn|/us/rn/nclex-rn/lessons/pulmonary-embolism-nclex-rn|/us/rn/nclex-rn/lessons/ards-nclex-rn,lab-values|electrolyte-abg,high,1,5,nclex-seo-2026-005,planned
6,Why Does Fever Tachycardia Happen in Sepsis (Not “Just Anxiety”)?,nclex-seo-006-why-does-fever-tachycardia-happen-in-sepsis-not-just-anxiety,why tachycardia in sepsis nursing,Med-Surg,explanation-pathophysiology,Inflammation and perfusion framing for early recognition items.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/sepsis-nclex-rn|/us/rn/nclex-rn/lessons/pulmonary-embolism-nclex-rn|/us/rn/nclex-rn/lessons/ards-nclex-rn,lab-values|electrolyte-abg,high,1,6,nclex-seo-2026-006,planned
7,Why Does Hyperventilation Lower CO2 on the ABG (Quick NCLEX Logic)?,nclex-seo-007-why-does-hyperventilation-lower-co2-on-the-abg-quick-nclex-logic,why hyperventilation decreases CO2 ABG,Respiratory,explanation-pathophysiology,Minute ventilation and acid-base ties for ABG interpretation drills.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/positive-pressure-ventilation-nclex-rn|/us/rn/nclex-rn/lessons/chest-tubes-nclex-rn,electrolyte-abg,high,1,7,nclex-seo-2026-007,planned
8,Why Does COPD Sometimes Show High CO2 While “Satting OK”?,nclex-seo-008-why-does-copd-sometimes-show-high-co2-while-satting-ok,why COPD retain CO2 oxygen saturation,Respiratory,explanation-pathophysiology,Ventilation and oxygenation mismatch for respiratory exam traps.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/positive-pressure-ventilation-nclex-rn|/us/rn/nclex-rn/lessons/chest-tubes-nclex-rn,electrolyte-abg,high,1,8,nclex-seo-2026-008,planned
9,Why Does Digoxin Toxicity Cause Vision Changes and Bradycardia?,nclex-seo-009-why-does-digoxin-toxicity-cause-vision-changes-and-bradycardia,why digoxin toxicity symptoms nursing,Pharmacology,explanation-pathophysiology,Mechanism-linked assessment for polypharmacy and hold-parameter stems.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/digoxin-nclex-rn|/us/rn/nclex-rn/lessons/heparin-and-aptt-monitoring-nclex-rn|/us/rn/nclex-rn/lessons/ace-inhibitors-nclex-rn,med-math|iv-infusion,high,1,9,nclex-seo-2026-009,planned
10,Why Does Mannitol Lower ICP but Risk Fluid/Electrolyte Chaos?,nclex-seo-010-why-does-mannitol-lower-icp-but-risk-fluidelectrolyte-chaos,why mannitol for increased intracranial pressure nursing,Neuro,explanation-pathophysiology,Osmotic diuresis and monitoring priorities for neuro scenarios.,"Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/abnormal-neurological-assessment-findings-nclex-rn|/us/rn/nclex-rn/lessons/memantine-nclex-rn,lab-values,high,1,10,nclex-seo-2026-010,planned
11,Why Does TPN Increase Infection Risk (Besides the Line)?,nclex-seo-011-why-does-tpn-increase-infection-risk-besides-the-line,why TPN infection risk nursing,Med-Surg,explanation-pathophysiology,"Line care, glucose, and immune context for infection control items.","Nursing students (PN, RN), NCLEX candidates, new grads, clinical rotation students",/us/rn/nclex-rn/lessons/sepsis-nclex-rn|/us/rn/nclex-rn/lessons/pulmonary-embolism-nclex-rn|/us/rn/nclex-rn/lessons/ards-nclex-rn,lab-values|electrolyte-abg,high,2,11,nclex-seo-2026-011,planned
