locale,key,englishValue,overlayValue,overlayStatus,section,priorityRank
es,pages.pricing.billing.heading,Choose how long you want to commit,Elige cuánto tiempo quieres comprometerte,present_and_translated,pricing,1
es,pages.pricing.billing.helper,Totals help you compare term savings; Stripe shows the exact charge before you pay. You can switch term at renewal where your plan allows.,Los totales le ayudan a comparar los ahorros a plazo; Stripe muestra el cargo exacto antes de pagar. Puede cambiar el plazo en el momento de la renovación cuando su plan lo permita.,present_and_translated,pricing,1
es,pages.pricing.billing.recurringDisclosure,"Subscriptions renew automatically until you cancel. Stripe shows the renewal cadence, price, and next charge date before you pay. Cancellation and refund rules are in our subscription & refund policy.","Las suscripciones se renuevan automáticamente hasta que las canceles. Stripe muestra la cadencia de renovación, el precio y la fecha del próximo cargo antes de pagar. Las reglas de cancelación y reembolso se encuentran en nuestra política de suscripción y reembolso.",present_and_translated,pricing,1
es,pages.pricing.checkout.comingSoon,Coming soon,Muy pronto,present_and_translated,pricing,1
es,pages.pricing.checkout.continue,Continue to secure checkout,Continuar para asegurar el pago,present_and_translated,pricing,1
es,pages.pricing.checkout.mustAcceptPolicies,Confirm the policies above to continue to checkout.,Confirme las políticas anteriores para continuar con el pago.,present_and_translated,pricing,1
es,pages.pricing.checkout.policyAckBetween1,", ",",",present_and_translated,pricing,1
es,pages.pricing.checkout.policyAckBetween2,", and ",", y",present_and_translated,pricing,1
es,pages.pricing.checkout.policyAckEnd,", including recurring billing and cancellation rules.",", incluidas las reglas de cancelación y facturación recurrente.",present_and_translated,pricing,1
es,pages.pricing.checkout.policyAckStart,I have read and agree to the ,He leído y acepto las,present_and_translated,pricing,1
es,pages.pricing.checkout.policyPrivacyLabel,Privacy Policy,política de privacidad,present_and_translated,pricing,1
es,pages.pricing.checkout.policyRefundLabel,Subscription & refund policy,Política de suscripción y reembolso,present_and_translated,pricing,1
es,pages.pricing.checkout.policyTermsLabel,Terms of Service,Términos de servicio,present_and_translated,pricing,1
es,pages.pricing.checkout.recurringShort,Recurring billing: your plan renews until you cancel in the billing portal. Exact terms appear on Stripe before payment.,Facturación recurrente: tu plan se renueva hasta que lo canceles en el portal de facturación. Los términos exactos aparecen en Stripe antes del pago.,present_and_translated,pricing,1
es,pages.pricing.country.ca,Canada,Canadá,present_and_translated,pricing,1
es,pages.pricing.country.us,United States,Estados Unidos,present_and_translated,pricing,1
es,pages.pricing.countryLabel,Country:,País:,present_and_translated,pricing,1
es,pages.pricing.description,"NurseNest Core plans by exam pathway (RPN, LVN/LPN, RN, NP, allied) and country—full bank, lessons, mocks, and server-checked access.","Planes NurseNest Core por vía de examen (RPN, LVN/LPN, RN, NP, aliados) y país: banco completo, lecciones, simulacros y acceso verificado por el servidor.",present_and_translated,pricing,1
es,pages.pricing.duration.3month,3 months,3 meses,present_and_translated,pricing,1
es,pages.pricing.duration.6month,6 months,6 meses,present_and_translated,pricing,1
es,pages.pricing.duration.monthly,Monthly,Mensual,present_and_translated,pricing,1
es,pages.pricing.duration.yearly,12 months (best savings),12 meses (mejor ahorro),present_and_translated,pricing,1
es,pages.pricing.error.checkoutNetwork,Network error starting checkout. Check your connection and try again.,Error de red al iniciar el pago. Comprueba tu conexión y vuelve a intentarlo.,present_and_translated,pricing,1
es,pages.pricing.error.checkoutSignIn,"Sign in first, then return here to finish checkout.","Inicie sesión primero, luego regrese aquí para finalizar el pago.",present_and_translated,pricing,1
es,pages.pricing.error.checkoutUnavailable,Checkout is not available for this plan right now.,El pago no está disponible para este plan en este momento.,present_and_translated,pricing,1
es,pages.pricing.error.loadPlans,We could not load plans. Refresh the page or try again shortly.,No pudimos cargar planos. Actualiza la página o vuelve a intentarlo en breve.,present_and_translated,pricing,1
es,pages.pricing.h1,Pricing that matches your exam—not a generic subscription wall,"Precios que coinciden con su examen, no un muro de suscripción genérico",present_and_translated,pricing,1
es,pages.pricing.institutionalBanner,"Programs & schools: volume licensing, cohort seats, and admin-friendly rollout—see institutional pricing.","Programas y escuelas: licencias por volumen, puestos de cohorte e implementación fácil de administrar; consulte los precios institucionales.",present_and_translated,pricing,1
es,pages.pricing.institutionalLink,Institutional & program pricing,Precios institucionales y de programas,present_and_translated,pricing,1
es,pages.pricing.intro,"Pick your pathway and country. After checkout, that tier unlocks the full question bank, lessons, timed sessions, and score history for your registration context—no mixing in content from other scopes.","Elija su camino y país. Después del pago, ese nivel desbloquea el banco de preguntas completo, las lecciones, las sesiones cronometradas y el historial de puntuaciones para su contexto de registro, sin mezclar contenido de otros ámbitos.",present_and_translated,pricing,1
es,pages.pricing.narrative.allied.headline,Allied health exam prep anchored in clinical reasoning,Preparación para exámenes de salud aliada basada en el razonamiento clínico,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.headlineOutcome,Allied health exam prep anchored in clinical reasoning,Preparación para exámenes de salud aliada basada en el razonamiento clínico,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.headlineUrgency,Allied health exam prep anchored in clinical reasoning — start your pass-focused sprint,Preparación para exámenes de salud aliada basada en el razonamiento clínico: comience su sprint centrado en aprobar,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.included0,Reasoning-heavy question practice with clear rationales,Práctica de preguntas con mucho razonamiento y fundamentos claros.,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.included1,Lesson library access aligned to your subscription tier,Acceso a la biblioteca de lecciones alineado con su nivel de suscripción,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.included2,Timed exams to rehearse stamina and pacing,Exámenes cronometrados para ensayar la resistencia y el ritmo.,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.included3,Simple analytics to steer your next study block,Análisis simples para guiar su próximo bloque de estudio,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.outcome0,Practice rapid prioritization and protocol edges like certification exams,"Practique priorización rápida y ventajas de protocolo, como exámenes de certificación.",present_and_translated,pricing,1
es,pages.pricing.narrative.allied.outcome1,Tie pathophysiology lessons to applied items the same week,Vincular lecciones de fisiopatología con elementos aplicados la misma semana,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.outcome2,Track weak domains instead of repeating comfortable topics,Realice un seguimiento de los dominios débiles en lugar de repetir temas cómodos,present_and_translated,pricing,1
es,pages.pricing.narrative.allied.proofLine,Certification success correlates with consistent application—not cramming—NurseNest enforces that cadence.,"El éxito de la certificación se correlaciona con una aplicación constante, no con un exceso de trabajo; NurseNest hace cumplir esa cadencia.",present_and_translated,pricing,1
es,pages.pricing.narrative.allied.subhead,"RT, paramedic, lab, and imaging learners use the same disciplined question → lesson → mock rhythm.","Los estudiantes de RT, paramédico, laboratorio e imágenes utilizan la misma pregunta disciplinada → lección → ritmo simulado.",present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.headline,NCLEX-PN prep that prioritizes safety and scope,Preparación NCLEX-PN que prioriza la seguridad y el alcance,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.headlineOutcome,NCLEX-PN prep that prioritizes safety and scope,Preparación NCLEX-PN que prioriza la seguridad y el alcance,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.headlineUrgency,NCLEX-PN prep that prioritizes safety and scope — start your pass-focused sprint,Preparación NCLEX-PN que prioriza la seguridad y el alcance: comience su sprint centrado en el pase,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.included0,PN-focused practice questions and rationales,Preguntas y fundamentos prácticos centrados en la NP,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.included1,Lesson tracks for high-yield clinical foundations,Pistas de lecciones para fundamentos clínicos de alto rendimiento,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.included2,Practice exams drawn from your eligible pool only,Exámenes de práctica extraídos únicamente de su grupo elegible,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.included3,Performance cues to rebalance weak categories weekly,Señales de rendimiento para reequilibrar las categorías débiles semanalmente,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.outcome0,Rehearse prioritization and therapeutic communication the way boards frame them,Ensayar la priorización y la comunicación terapéutica en la forma en que los tableros las enmarcan.,present_and_translated,pricing,1
es,pages.pricing.narrative.lvn_lpn.outcome1,Reinforce pharmacology monitoring PN scope expects,Se espera reforzar el seguimiento farmacológico del alcance de la PN,present_and_translated,pricing,1
