id	slug	title	postStatus	blocking_ids	blocking_messages_snip
cmoyv6zi50002420ymb2u2ook	burn-injuries-depth-classification-fluid-resuscitation-and-wound-care-1	Managing Burn Injuries: Depth, Resuscitation, and Care	DRAFT	body_word_count;internal_links;internal_links;internal_links;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate;blog_publish_quality_gate	Article body is too short for publish (1039 words; hard minimum 1200). | Internal link invalid (not_found): Burn Injury Assessment → /canada/rn/nclex-rn/lessons/burn-injury-assessment | Internal link invalid (not_found): Fluid Resuscitation in Burns → /canada/rn/nclex-rn/lessons/fluid-resuscitation-burns | Internal link invalid (not_found): Wound Care Essentials → /canada/rn/nclex-rn/lessons/wound-care-essentials | Internal link invalid (not_found): Burn Management Strategies → /canada/rn/nclex-rn/lessons/burn-management-strategies | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | FAQ answers are generic, too short, or not tied to the article topic.
cmoyvex2c004w420yi5nuiivw	how-to-recognize-early-signs-of-delirium-dementia-and-cognitive-decline-in-older	How to Recognize Early Signs of Delirium and Dementia	DRAFT	body_word_count;taxonomy_classifier;internal_links;internal_links;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate	Article body is too short for publish (1039 words; hard minimum 1200). | Taxonomy is ambiguous or insufficient for publish (classifier returned REVIEW_REQUIRED / review-pending domain). | Internal link invalid (not_found): Delirium Assessment Techniques → /us/rn/nclex/lessons/delirium-assessment | Internal link invalid (not_found): Dementia Care Strategies → /us/rn/nclex/lessons/dementia-care | Internal link invalid (not_found): Cognitive Decline in Older Adults → /us/rn/nclex/lessons/cognitive-decline | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs.
cmoyve83y004t420y9nn9ytkc	safe-mobility-fall-prevention-and-dementia-care-techniques-for-long-term-care-re	Safe Mobility and Fall Prevention Techniques for Dementia Care	DRAFT	body_word_count;taxonomy_classifier;internal_links;internal_links;internal_links;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate;blog_publish_quality_gate	Article body is too short for publish (1048 words; hard minimum 1200). | Taxonomy is ambiguous or insufficient for publish (classifier returned REVIEW_REQUIRED / review-pending domain). | Internal link invalid (not_found): Safe Mobility Techniques → /us/rn/nclex/lessons/safe-mobility-techniques | Internal link invalid (not_found): Fall Prevention in Long-Term Care → /us/rn/nclex/lessons/fall-prevention-long-term-ca | Internal link invalid (not_found): Dementia Care Essentials → /us/rn/nclex/lessons/dementia-care-essentials | Internal link invalid (not_found): Pharmacology for Nurses → /us/rn/nclex/lessons/pharmacology-for-nurses | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | Clinical article is missing required topic-specific teaching arcs: clinical mechanism, teaching, escalation.
cmoh6q2hb00044c0nmspnkkd9	burn-injuries-depth-classification-fluid-resuscitation-and-wound-care	Burn Injuries: Depth Classification, Fluid Resuscitation, and Wound Care explained for NCLEX-RN exams (what	NEEDS_REVIEW	body_word_count;internal_links;internal_links;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate	Article body is too short for publish (1299 words; target at least 1500 substantive words before going live). | Internal link invalid (not_found): Burn Injuries: Depth Classification → /canada/nurse/nclex-rn/lessons/burn-injuries-de | Internal link invalid (not_found): Fluid Resuscitation in Burn Management → /canada/nurse/nclex-rn/lessons/fluid-resusci | Internal link invalid (not_found): Burn Wound Care → /canada/nurse/nclex-rn/lessons/burn-wound-care | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | Title looks truncated or ends mid-phrase (comma/colon only, dangling word, or unbalanced parentheses). | Body contains banned filler / meta-instruction phrase: "this article will…" | Body contains generated placeholder/template phrase: "this article will".
cmoh7fg22000b4c0n3nsttcjy	cellulitis-and-wound-infections-nursing-assessment-and-antibiotic-care	Cellulitis and Wound Infections: Nursing Assessment and Antibiotic Care explained for NCLEX-RN exams (what	NEEDS_REVIEW	body_word_count;internal_links;internal_links;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate	Article body is too short for publish (1255 words; target at least 1500 substantive words before going live). | Internal link invalid (not_found): Cellulitis and Wound Infections Lesson → /canada/nursing/nclex-rn/lessons/cellulitis- | Internal link invalid (not_found): Nursing Assessment for Infections Lesson → /canada/nursing/nclex-rn/lessons/nursing-a | Internal link invalid (invalid_allowlist): NCLEX-RN Question Bank Hub → /questions | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | Title looks truncated or ends mid-phrase (comma/colon only, dangling word, or unbalanced parentheses). | Body contains banned filler / meta-instruction phrase: "this article will…" | Body contains generated placeholder/template phrase: "this article will".
cmoh6yiyy00054c0npd6fvu78	how-nclex-tests-cardiac-arrhythmias-priority-questions-and-strategies	How NCLEX Tests Cardiac Arrhythmias: Priority Questions and Strategies explained for NCLEX-RN exams (what	NEEDS_REVIEW	body_word_count;internal_links;content_nursing_implications;content_clinical_mechanism;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate	Article body is too short for publish (1233 words; target at least 1500 substantive words before going live). | Internal link invalid (not_found): NCLEX-RN Cardiac Arrhythmias Lesson → /us/nursing/nclex-rn/lessons/cardiac-arrhythmia | Missing an H2-level nursing implications / practice implications section. | Missing a dedicated H2 for pathophysiology, mechanism, or clinical reasoning depth. | Title looks truncated or ends mid-phrase (comma/colon only, dangling word, or unbalanced parentheses). | Body contains banned filler / meta-instruction phrase: "this article will…" | Body contains a banned template/filler heading: "Clinical Scenarios: Application of Knowledge". | Body contains generated placeholder/template phrase: "this article will". | Article uses a banned template/filler heading: "Clinical Scenarios: Application of Knowledge".
cmocfysx5000a0n467lwd5sep	lt-reg-cs-acute-kidney-injury-metabolic-acidosis	Why does acute kidney injury cause metabolic acidosis?	NEEDS_REVIEW	educational_stub_language;content_nursing_implications;internal_link_recommendations;faq_content_when_required;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate	Placeholder or stub language detected (section_connects_stub). | Missing an H2-level nursing implications / practice implications section. | No internal link plan: verified lessons, anchor opportunities, related posts, and contract recommended links are all emp | Pathophysiology / disease-process drafts require at least four FAQ items for FAQPage value and learner depth. | Body contains banned filler / meta-instruction phrase: "this section connects the clinical question…" | Body contains Unicode en dash or em dash characters; use commas, colons, or ASCII hyphen for learner-facing HTML. | Pathophysiology long-form: more than one pair of H2 sections overlaps heavily (Jaccard > 0.52) — likely duplicated boile | Highest pairwise Jaccard similarity between major H2 sections is 0.90 (threshold 0.78). | Body word diversity is low (repetition ratio 8.76), suggesting padded or duplicated sections. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | Body contains generated placeholder/template phrase: "this section connects the clinical question". | Repeated or near-duplicate sentences suggest generated filler inflated the article. | Body word count appears inflated by repeated low-diversity wording. | Multiple H2 sections share overlapping prose (max section Jaccard 0.93; limit 0.48). | Primary keyword phrase is repeated too densely in the body (67 occurrences in ~3152 words).
cmocfytp9000x0n46sefg4m4u	lt-reg-cs-acute-liver-failure-coagulopathy	Why does acute liver failure cause coagulopathy?	NEEDS_REVIEW	educational_stub_language;content_nursing_implications;internal_link_recommendations;faq_content_when_required;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate	Placeholder or stub language detected (section_connects_stub). | Missing an H2-level nursing implications / practice implications section. | No internal link plan: verified lessons, anchor opportunities, related posts, and contract recommended links are all emp | Pathophysiology / disease-process drafts require at least four FAQ items for FAQPage value and learner depth. | Body contains banned filler / meta-instruction phrase: "this section connects the clinical question…" | Body contains Unicode en dash or em dash characters; use commas, colons, or ASCII hyphen for learner-facing HTML. | Pathophysiology long-form: more than one pair of H2 sections overlaps heavily (Jaccard > 0.52) — likely duplicated boile | Highest pairwise Jaccard similarity between major H2 sections is 0.90 (threshold 0.78). | Body word diversity is low (repetition ratio 8.56), suggesting padded or duplicated sections. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | Body contains generated placeholder/template phrase: "this section connects the clinical question". | Repeated or near-duplicate sentences suggest generated filler inflated the article. | Body word count appears inflated by repeated low-diversity wording. | References do not appear relevant to the article title or target keyword. | Multiple H2 sections share overlapping prose (max section Jaccard 0.93; limit 0.48). | Primary keyword phrase is repeated too densely in the body (67 occurrences in ~3085 words).
cmocfytl2000t0n46wuvjhyi0	lt-reg-cs-acute-stroke-focal-neurologic-deficits	Why does acute stroke cause focal neurologic deficits?	NEEDS_REVIEW	educational_stub_language;content_nursing_implications;internal_link_recommendations;faq_content_when_required;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate	Placeholder or stub language detected (section_connects_stub). | Missing an H2-level nursing implications / practice implications section. | No internal link plan: verified lessons, anchor opportunities, related posts, and contract recommended links are all emp | Pathophysiology / disease-process drafts require at least four FAQ items for FAQPage value and learner depth. | Body contains banned filler / meta-instruction phrase: "this section connects the clinical question…" | Body contains Unicode en dash or em dash characters; use commas, colons, or ASCII hyphen for learner-facing HTML. | Pathophysiology long-form: more than one pair of H2 sections overlaps heavily (Jaccard > 0.52) — likely duplicated boile | Highest pairwise Jaccard similarity between major H2 sections is 0.90 (threshold 0.78). | Body word diversity is low (repetition ratio 8.72), suggesting padded or duplicated sections. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | Body contains generated placeholder/template phrase: "this section connects the clinical question". | Repeated or near-duplicate sentences suggest generated filler inflated the article. | Body word count appears inflated by repeated low-diversity wording. | References do not appear relevant to the article title or target keyword. | Multiple H2 sections share overlapping prose (max section Jaccard 0.93; limit 0.48). | Primary keyword phrase is repeated too densely in the body (67 occurrences in ~3149 words).
cmocfytv100140n466ltiruer	lt-reg-cs-addisonian-crisis-refractory-hypotension	Why does Addisonian crisis cause refractory hypotension?	NEEDS_REVIEW	educational_stub_language;content_nursing_implications;internal_link_recommendations;faq_content_when_required;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_content_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate;blog_publish_quality_gate	Placeholder or stub language detected (section_connects_stub). | Missing an H2-level nursing implications / practice implications section. | No internal link plan: verified lessons, anchor opportunities, related posts, and contract recommended links are all emp | Pathophysiology / disease-process drafts require at least four FAQ items for FAQPage value and learner depth. | Body contains banned filler / meta-instruction phrase: "this section connects the clinical question…" | Body contains Unicode en dash or em dash characters; use commas, colons, or ASCII hyphen for learner-facing HTML. | Pathophysiology long-form: more than one pair of H2 sections overlaps heavily (Jaccard > 0.52) — likely duplicated boile | Highest pairwise Jaccard similarity between major H2 sections is 0.90 (threshold 0.78). | Body word diversity is low (repetition ratio 8.57), suggesting padded or duplicated sections. | FAQ content appears both in the HTML body and in structured faqBlock — public pages would duplicate FAQs. | Body contains generated placeholder/template phrase: "this section connects the clinical question". | Repeated or near-duplicate sentences suggest generated filler inflated the article. | Body word count appears inflated by repeated low-diversity wording. | References do not appear relevant to the article title or target keyword. | Multiple H2 sections share overlapping prose (max section Jaccard 0.93; limit 0.48). | Primary keyword phrase is repeated too densely in the body (67 occurrences in ~3082 words).
