title,slug,primary_keyword,search_intent,country,tier,category_cluster,suggested_internal_links
"Why does left-sided heart failure cause pulmonary congestion?","why-does-left-sided-heart-failure-cause-pulmonary-congestion","Why does left-sided heart failure cause pulmonary congestion",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How beta-blockers blunt the sympathetic storm in ACS?","how-beta-blockers-blunt-the-sympathetic-storm-in-acs-2","How beta-blockers blunt the sympathetic storm in ACS",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes crackles on exam in fluid overload NCLEX style?","what-causes-crackles-on-exam-in-fluid-overload-nclex-style-3","What causes crackles on exam in fluid overload NCLEX style",exam-prep,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between preload and afterload for nursing students?","difference-between-preload-and-afterload-for-nursing-students-4","Difference between preload and afterload for nursing students",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why is digoxin toxicity a priority when nausea and bradycardia appear?","why-is-digoxin-toxicity-a-priority-when-nausea-and-bradycardia-appear-5","Why is digoxin toxicity a priority when nausea and bradycardia appear",clinical-prioritization,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX trap atrial fibrillation with RVR first intervention?","nclex-trap-atrial-fibrillation-with-rvr-first-intervention-6","NCLEX trap atrial fibrillation with RVR first intervention",exam-prep,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How nitroglycerin reduces myocardial oxygen demand explained?","how-nitroglycerin-reduces-myocardial-oxygen-demand-explained-7","How nitroglycerin reduces myocardial oxygen demand explained",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes pulsus paradoxus in pericardial tamponade?","what-causes-pulsus-paradoxus-in-pericardial-tamponade-8","What causes pulsus paradoxus in pericardial tamponade",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why ACE inhibitors can worsen acute kidney injury in some patients?","why-ace-inhibitors-can-worsen-acute-kidney-injury-in-some-patients-9","Why ACE inhibitors can worsen acute kidney injury in some patients",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How vasodilators affect afterload in systolic heart failure?","how-vasodilators-affect-afterload-in-systolic-heart-failure-10","How vasodilators affect afterload in systolic heart failure",informational,Global,RN,"cardiovascular-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
