slug,word_count,title
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-acute-med-surg-canada",2223,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-clinical-judgment-priorities",2209,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Clinical judgment and prioritization drills (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-delegation-ucp-canada",2225,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Delegation and unregulated care provider collaboration (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-documentation-exam-focus",2215,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Documentation expectations on Canadian PN exams (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-home-community-nursing-canada",2223,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Home and community care realities for RPN practice (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-ipac-routine-practices-canada",2220,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: IPAC routine practices and outbreak language (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-ltc-ontario-shift-realities",2232,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: LTC shift realities and resident-centred pacing (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-medication-safety-mar-canada",2228,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Medication safety, MAR checks, and high-alert vigilance (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-patient-teaching-health-literacy",2219,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: Patient teaching and health literacy for Canadian PN learners (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-rex-pn-ngn-item-thinking",2217,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: REx-PN and NGN-style case thinking (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-abuse-neglect-reporting-rpn-canada-sbar-escalation-canada",2215,"""Abuse, neglect, and reporting obligations in Canadian nursing exams: SBAR, escalation, and interprofessional handoff discipline (Canadian RPN REx-PN prep)"""
"rex-pn-rpn-anemia-fatigue-teaching-canada-acute-med-surg-canada",2187,"""Anemia-related fatigue, iron teaching, and functional assessment: Acute med-surg priorities for practical nurses (Canadian RPN REx-PN prep)"""
